committee,members,recent_posts,events,rating,tag_match
Tech Club,120,15,5,4.7,0.95
Drama Club,80,10,3,4.3,0.8
Sports Club,150,20,7,4.8,0.9
Music Club,110,18,6,4.6,0.85
Art Club,90,12,4,4.5,0.75
Literature Club,60,8,2,4.2,0.7
Dance Club,130,25,8,4.9,0.98
Robotics Club,140,22,9,4.8,0.96
Photography Club,95,13,5,4.4,0.8
Gaming Club,100,17,6,4.5,0.85
Debate Club,75,9,3,4.1,0.7
Environment Club,110,16,5,4.6,0.82
Coding Club,125,19,7,4.8,0.9
Public Speaking Club,85,14,4,4.3,0.78
Cooking Club,70,11,4,4.4,0.77
Volunteer Club,140,23,8,4.7,0.92
Finance Club,110,18,6,4.6,0.86
Theater Club,95,12,4,4.2,0.74
Fashion Club,120,20,6,4.7,0.89
History Club,80,10,3,4.3,0.76
Science Club,150,25,10,4.9,0.93
Chess Club,60,8,3,4.1,0.72
Yoga Club,100,15,5,4.5,0.83
Poetry Club,90,12,4,4.3,0.8
Film Club,110,17,6,4.6,0.88
